,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary
0,0.38,0.53,2,157,3,0,1,0,sales,low
1,0.8,0.86,5,262,6,0,1,0,sales,medium
2,0.11,0.88,7,272,4,0,1,0,sales,medium
3,0.72,0.87,5,223,5,0,1,0,sales,low
4,0.37,0.52,2,159,3,0,1,0,sales,low
5,0.41,0.5,2,153,3,0,1,0,sales,low
6,0.1,0.77,6,247,4,0,1,0,sales,low
7,0.92,0.85,5,259,5,0,1,0,sales,low
8,0.89,1.0,5,224,5,0,1,0,sales,low
9,0.42,0.53,2,142,3,0,1,0,sales,low
10,0.45,0.54,2,135,3,0,1,0,sales,low
11,0.11,0.81,6,305,4,0,1,0,sales,low
12,0.84,0.92,4,234,5,0,1,0,sales,low
13,0.41,0.55,2,148,3,0,1,0,sales,low
14,0.36,0.56,2,137,3,0,1,0,sales,low
15,0.38,0.54,2,143,3,0,1,0,sales,low
16,0.45,0.47,2,160,3,0,1,0,sales,low
17,0.78,0.99,4,255,6,0,1,0,sales,low
18,0.45,0.51,2,160,3,1,1,1,sales,low
19,0.76,0.89,5,262,5,0,1,0,sales,low
20,0.11,0.83,6,282,4,0,1,0,sales,low
21,0.38,0.55,2,147,3,0,1,0,sales,low
22,0.09,0.95,6,304,4,0,1,0,sales,low
23,0.46,0.57,2,139,3,0,1,0,sales,low
24,0.4,0.53,2,158,3,0,1,0,sales,low
25,0.89,0.92,5,242,5,0,1,0,sales,low
26,0.82,0.87,4,239,5,0,1,0,sales,low
27,0.4,0.49,2,135,3,0,1,0,sales,low
28,0.41,0.46,2,128,3,0,1,0,accounting,low
29,0.38,0.5,2,132,3,0,1,0,accounting,low
30,0.09,0.62,6,294,4,0,1,0,accounting,low
31,0.45,0.57,2,134,3,0,1,0,hr,low
32,0.4,0.51,2,145,3,0,1,0,hr,low
33,0.45,0.55,2,140,3,0,1,0,hr,low
34,0.84,0.87,4,246,6,0,1,0,hr,low
35,0.1,0.94,6,255,4,0,1,0,technical,low
36,0.38,0.46,2,137,3,0,1,0,technical,low
37,0.45,0.5,2,126,3,0,1,0,technical,low
38,0.11,0.89,6,306,4,0,1,0,technical,low
39,0.41,0.54,2,152,3,0,1,0,technical,low
40,0.87,0.88,5,269,5,0,1,0,technical,low
41,0.45,0.48,2,158,3,0,1,0,technical,low
42,0.4,0.46,2,127,3,0,1,0,technical,low
43,0.1,0.8,7,281,4,0,1,0,technical,low
44,0.09,0.89,6,276,4,0,1,0,technical,low
45,0.84,0.74,3,182,4,0,1,0,technical,low
46,0.4,0.55,2,147,3,0,1,0,support,low
47,0.57,0.7,3,273,6,0,1,0,support,low
48,0.4,0.54,2,148,3,0,1,0,support,low
49,0.43,0.47,2,147,3,0,1,0,support,low
50,0.13,0.78,6,152,2,0,1,0,support,low
51,0.44,0.55,2,135,3,0,1,0,support,low
52,0.38,0.55,2,134,3,0,1,0,support,low
53,0.39,0.54,2,132,3,0,1,0,support,low
54,0.1,0.92,7,307,4,0,1,0,support,low
55,0.37,0.46,2,140,3,0,1,0,support,low
56,0.11,0.94,7,255,4,0,1,0,support,low
57,0.1,0.81,6,309,4,0,1,0,technical,low
58,0.38,0.54,2,128,3,0,1,0,technical,low
59,0.85,1.0,4,225,5,0,1,0,technical,low
60,0.85,0.91,5,226,5,0,1,0,management,medium
61,0.11,0.93,7,308,4,0,1,0,IT,medium
62,0.1,0.95,6,244,5,0,1,0,IT,medium
63,0.36,0.56,2,132,3,0,1,0,IT,medium
64,0.11,0.94,6,286,4,0,1,0,IT,medium
65,0.81,0.7,6,161,4,0,1,0,IT,medium
66,0.43,0.54,2,153,3,0,1,0,product_mng,medium
67,0.9,0.98,4,264,6,0,1,0,product_mng,medium
68,0.76,0.86,5,223,5,1,1,0,product_mng,medium
69,0.43,0.5,2,135,3,0,1,0,product_mng,medium
70,0.74,0.99,2,277,3,0,1,0,IT,medium
71,0.09,0.77,5,275,4,0,1,0,product_mng,medium
72,0.45,0.49,2,149,3,0,1,0,product_mng,high
73,0.09,0.87,7,295,4,0,1,0,product_mng,low
74,0.11,0.97,6,277,4,0,1,0,product_mng,medium
75,0.11,0.79,7,306,4,0,1,0,product_mng,medium
76,0.1,0.83,6,295,4,0,1,0,product_mng,medium
77,0.4,0.54,2,137,3,0,1,0,marketing,medium
78,0.43,0.56,2,157,3,0,1,0,sales,low
79,0.39,0.56,2,142,3,0,1,0,accounting,low
80,0.45,0.54,2,140,3,0,1,0,support,low
81,0.38,0.49,2,151,3,0,1,0,technical,low
82,0.79,0.59,4,139,3,0,1,1,management,low
83,0.84,0.85,4,249,6,0,1,0,marketing,low
84,0.11,0.77,6,291,4,0,1,0,marketing,low
85,0.11,0.87,6,305,4,0,1,0,marketing,low
86,0.17,0.84,5,232,3,0,1,0,sales,low
87,0.44,0.45,2,132,3,0,1,0,sales,low
88,0.37,0.57,2,130,3,0,1,0,sales,low
89,0.1,0.79,6,291,4,0,1,0,sales,low
90,0.4,0.5,2,130,3,0,1,0,sales,low
91,0.89,1.0,5,246,5,0,1,0,sales,low
92,0.42,0.48,2,143,3,0,1,0,sales,low
93,0.46,0.55,2,129,3,0,1,0,sales,low
94,0.09,0.83,6,255,4,0,1,0,sales,low
95,0.37,0.51,2,155,3,0,1,0,sales,low
96,0.1,0.77,6,265,4,0,1,0,sales,low
97,0.1,0.84,6,279,4,0,1,0,sales,low
98,0.11,0.97,6,284,4,0,1,0,sales,low
99,0.9,1.0,5,221,6,0,1,0,sales,medium
100,0.38,0.52,2,154,3,0,1,0,sales,medium
101,0.36,0.52,2,147,3,0,1,0,sales,medium
102,0.42,0.46,2,150,3,0,1,0,sales,medium
103,0.09,0.94,7,267,4,0,1,0,sales,medium
104,0.43,0.52,2,158,3,0,1,0,sales,medium
105,0.24,0.46,7,224,5,0,1,0,accounting,medium
106,0.91,1.0,4,257,5,0,1,0,accounting,medium
107,0.44,0.5,2,148,3,0,1,0,accounting,medium
108,0.71,0.87,3,177,4,0,1,0,hr,medium
109,0.4,0.49,2,155,3,0,1,0,hr,medium
110,0.43,0.47,2,144,3,0,1,0,hr,medium
111,0.09,0.85,6,289,4,0,1,0,hr,high
112,0.43,0.52,2,160,3,0,1,0,technical,low
113,0.9,0.96,4,258,5,0,1,0,technical,medium
114,0.84,1.0,5,234,5,0,1,0,technical,medium
115,0.37,0.48,2,137,3,0,1,0,technical,medium
116,0.86,0.68,5,263,2,0,1,0,technical,medium
117,0.11,0.84,6,251,4,0,1,0,technical,low
118,0.37,0.57,2,133,3,0,1,0,technical,low
119,0.4,0.46,2,132,3,0,1,0,technical,low
120,0.14,0.62,4,158,4,1,1,0,technical,low
121,0.4,0.46,2,135,3,0,1,0,technical,low
122,0.75,1.0,4,216,6,0,1,0,technical,low
123,0.11,0.84,6,300,5,1,1,0,support,low
124,0.46,0.49,2,138,3,0,1,0,support,low
125,0.11,0.92,6,260,4,0,1,0,support,low
126,0.38,0.49,2,132,3,0,1,0,support,low
127,0.7,0.89,3,183,5,0,1,0,support,low
128,0.09,0.82,6,250,4,0,1,0,support,low
129,0.37,0.45,2,151,3,0,1,0,support,low
130,0.1,0.83,6,292,4,0,1,0,support,low
131,0.38,0.57,2,140,3,0,1,0,support,low
132,0.9,1.0,5,221,5,0,1,0,support,low
133,0.44,0.51,2,138,3,0,1,0,support,low
134,0.36,0.5,2,132,3,0,1,0,technical,low
135,0.31,0.84,7,133,5,0,1,0,technical,low
136,0.1,0.84,6,283,4,1,1,0,technical,low
137,0.42,0.48,2,129,3,0,1,0,management,low
138,0.74,1.0,4,249,5,0,1,0,IT,low
139,0.73,0.87,5,257,5,0,1,0,IT,low
140,0.09,0.96,6,245,4,0,1,0,IT,low
141,0.45,0.53,2,155,3,0,1,0,IT,low
142,0.11,0.8,6,256,4,0,1,0,IT,low
143,0.37,0.47,2,152,3,0,1,0,product_mng,low
144,0.84,0.99,4,267,5,0,1,0,product_mng,low
145,0.41,0.46,2,151,3,0,1,0,product_mng,low
146,0.76,0.92,4,239,5,0,1,0,product_mng,low
147,0.11,0.87,6,306,4,0,1,0,IT,low
148,0.84,0.88,4,263,5,1,1,0,marketing,low
149,0.39,0.5,2,147,3,0,1,0,marketing,low
150,0.11,0.91,6,278,4,0,1,0,marketing,low
151,0.45,0.56,2,154,3,0,1,0,marketing,low
152,0.37,0.52,2,143,3,0,1,0,marketing,low
153,0.4,0.52,2,155,3,0,1,0,marketing,low
154,0.39,0.48,2,160,3,0,1,0,sales,low
155,0.11,0.8,6,304,4,0,1,0,accounting,low
156,0.83,1.0,5,240,5,0,1,0,support,low
157,0.11,0.92,6,305,4,0,1,0,technical,low
158,0.39,0.5,2,136,3,0,1,0,management,low
159,0.45,0.45,2,132,3,0,1,0,marketing,low
160,0.1,0.95,7,301,4,0,1,0,marketing,low
161,0.9,0.98,5,243,6,0,1,0,marketing,low
162,0.45,0.51,2,147,3,0,1,0,sales,low
163,0.79,0.89,5,239,5,0,1,0,sales,low
164,0.9,0.99,5,260,5,0,1,0,sales,low
165,0.11,0.84,7,296,4,0,1,0,sales,low
166,0.43,0.55,2,129,3,0,1,0,sales,low
167,0.31,0.54,5,132,5,0,1,0,sales,low
168,0.32,0.5,2,135,5,0,1,0,sales,low
169,0.45,0.57,2,158,3,0,1,0,sales,low
170,0.81,0.99,4,259,5,0,1,0,sales,low
171,0.41,0.46,2,160,3,0,1,1,sales,low
172,0.11,0.78,7,278,4,0,1,0,sales,low
173,0.1,0.88,6,284,4,0,1,0,sales,low
174,0.7,0.53,2,274,4,0,1,0,sales,low
175,0.54,0.74,4,164,2,0,1,0,sales,low
176,0.41,0.48,2,148,3,0,1,0,sales,low
177,0.38,0.5,2,140,3,0,1,0,sales,medium
178,0.37,0.51,2,127,3,0,1,0,sales,medium
179,0.11,0.85,6,308,5,0,1,0,sales,medium
180,0.4,0.47,2,146,3,0,1,0,sales,medium
181,0.1,0.84,6,261,4,0,1,0,accounting,medium
182,0.89,0.99,5,257,5,0,1,0,accounting,medium
183,0.11,0.8,6,285,4,0,1,0,accounting,medium
184,0.36,0.55,2,141,3,0,1,0,hr,medium
185,0.4,0.46,2,127,3,0,1,0,hr,medium
186,0.09,0.85,6,297,4,0,1,0,hr,medium
187,0.4,0.46,2,143,3,0,1,0,hr,medium
188,0.37,0.55,2,152,3,0,1,0,technical,medium
189,0.44,0.51,2,156,3,0,1,0,technical,high
190,0.09,0.8,7,283,5,0,1,0,technical,low
191,0.92,0.87,4,226,6,1,1,0,technical,medium
192,0.74,0.91,4,232,5,0,1,0,technical,medium
193,0.09,0.82,6,249,4,0,1,0,technical,medium
194,0.89,0.95,4,275,5,0,1,0,technical,medium
195,0.09,0.8,6,304,4,0,1,0,technical,low
196,0.27,0.54,7,278,3,0,1,0,technical,low
197,0.1,0.91,6,287,4,0,1,0,technical,low
198,0.1,0.89,7,285,4,0,1,0,technical,low
199,0.77,0.94,5,226,6,0,1,0,support,low
200,0.9,0.82,5,259,5,0,1,0,support,low
201,0.39,0.5,2,135,3,0,1,0,support,low
202,0.76,1.0,5,219,5,0,1,0,support,low
203,0.1,0.93,6,256,4,0,1,0,support,low
204,0.87,0.9,5,254,6,0,1,0,support,low
205,0.38,0.5,2,153,3,0,1,0,support,low
206,0.77,0.99,5,228,5,0,1,0,support,low
207,0.78,0.87,4,228,5,0,1,0,support,low
208,0.44,0.5,2,128,3,0,1,0,support,low
209,0.38,0.52,2,153,3,0,1,0,support,low
210,0.43,0.46,2,156,3,0,1,0,technical,low
211,0.39,0.5,4,294,3,0,1,0,technical,low
212,0.88,1.0,5,219,5,0,1,0,technical,low
213,0.45,0.46,2,153,3,0,1,0,management,low
214,0.4,0.53,2,151,3,0,1,0,IT,low
215,0.36,0.51,2,155,3,0,1,0,IT,low
216,0.36,0.48,2,158,3,0,1,0,IT,low
217,0.9,0.98,5,245,5,0,1,0,IT,low
218,0.43,0.53,2,131,3,0,1,0,IT,low
219,0.89,0.87,5,225,5,0,1,0,product_mng,low
220,0.1,0.84,6,286,4,0,1,0,product_mng,low
221,0.37,0.5,2,135,3,0,1,0,product_mng,low
222,0.37,0.51,2,153,3,0,1,0,product_mng,low
223,0.87,0.9,5,252,5,0,1,0,IT,low
224,0.4,0.56,2,149,3,0,1,0,accounting,low
225,0.9,0.97,4,258,5,0,1,0,accounting,low
226,0.37,0.46,2,158,3,0,1,0,hr,low
227,0.44,0.54,2,149,3,0,1,0,hr,low
228,0.85,0.95,5,236,5,0,1,0,hr,low
229,0.78,0.98,5,239,6,0,1,0,marketing,low
230,0.42,0.47,2,159,3,0,1,0,marketing,low
231,0.92,0.99,5,255,6,0,1,0,sales,low
232,0.11,0.83,6,244,4,0,1,0,accounting,low
233,0.42,0.56,2,134,3,0,1,0,support,low
234,0.48,0.57,4,270,4,0,1,0,technical,low
235,0.83,0.85,4,255,5,0,1,0,management,low
236,0.4,0.53,2,151,3,0,1,0,marketing,low
237,0.43,0.45,2,135,3,0,1,0,marketing,low
238,0.43,0.53,2,146,3,0,1,0,marketing,low
239,0.1,0.97,7,254,4,0,1,0,sales,low
240,0.1,0.87,7,289,4,0,1,0,sales,low
241,0.37,0.46,2,156,3,0,1,0,sales,low
242,0.38,0.53,2,156,3,0,1,0,sales,low
243,0.4,0.5,2,128,3,0,1,0,sales,low
244,0.89,0.86,5,275,5,0,1,0,sales,low
245,0.45,0.46,2,155,3,0,1,0,sales,low
246,0.37,0.48,2,159,3,0,1,0,sales,low
247,0.46,0.49,2,148,3,0,1,0,sales,low
248,0.87,0.91,4,228,5,0,1,0,sales,low
249,0.11,0.84,6,298,4,0,1,0,sales,low
250,0.79,0.87,5,261,5,0,1,0,sales,low
251,0.79,0.92,5,254,6,0,1,0,sales,low
252,0.19,0.59,7,192,3,0,1,0,sales,low
253,0.87,0.98,4,248,5,0,1,0,sales,low
254,0.6,0.92,2,258,5,0,1,0,sales,low
255,0.44,0.45,2,156,3,0,1,0,sales,medium
256,0.11,0.81,6,266,4,1,1,0,sales,medium
257,0.42,0.54,2,156,3,0,1,0,sales,medium
258,0.88,0.88,5,232,5,1,1,0,accounting,medium
259,0.11,0.84,6,287,4,0,1,0,accounting,medium
260,0.46,0.46,2,154,3,0,1,0,accounting,medium
261,0.82,0.97,5,263,5,0,1,0,hr,medium
262,0.44,0.56,2,131,3,0,1,0,hr,medium
263,0.11,0.78,6,260,4,0,1,0,hr,medium
264,0.42,0.5,2,139,3,0,1,0,hr,medium
265,0.84,0.93,4,251,5,0,1,0,technical,medium
266,0.11,0.95,6,286,4,0,1,0,technical,medium
267,0.45,0.53,2,129,3,0,1,0,technical,high
268,0.38,0.56,2,156,3,0,1,0,technical,low
269,0.38,0.86,6,139,6,0,1,0,technical,medium
270,0.44,0.51,2,127,3,0,1,0,technical,medium
271,0.11,0.84,6,251,4,0,1,0,technical,medium
272,0.81,0.93,5,270,5,0,1,0,technical,medium
273,0.09,0.96,6,296,4,0,1,0,technical,low
274,0.11,0.9,6,254,4,0,1,0,technical,low
275,0.81,0.95,5,238,6,0,1,0,technical,low
276,0.1,0.97,6,267,4,1,1,0,support,low
277,0.74,0.89,5,229,6,0,1,0,support,low
278,0.09,0.78,6,254,4,0,1,0,support,low
279,0.82,0.81,4,233,4,1,1,0,support,low
280,0.1,0.98,6,268,4,0,1,0,support,low
281,0.27,0.56,3,301,3,0,1,0,support,low
282,0.83,0.92,5,267,6,0,1,0,support,low
283,0.1,0.93,6,289,4,1,1,0,support,low
284,0.38,0.47,2,144,3,0,1,0,support,low
285,0.4,0.56,2,148,3,0,1,0,support,low
286,0.11,0.83,6,306,4,0,1,0,support,low
287,0.11,0.79,6,292,4,0,1,1,technical,low
288,0.82,0.91,5,232,5,0,1,0,technical,low
289,0.36,0.48,2,137,3,0,1,0,technical,low
290,0.4,0.46,2,128,3,0,1,0,management,low
291,0.87,0.84,5,231,5,0,1,0,IT,low
292,0.41,0.49,2,146,3,0,1,0,IT,low
293,0.11,0.91,6,308,4,1,1,0,IT,low
